"index","imdb_id","kaggle_id","title","original_title","tagline","belongs_to_collection","wikipedia_url","imdb_link","runtime","budget","revenue","release_date","popularity","vote_average","vote_count","genres","original_language","overview","spoken_languages","country","production_companies","production_countries","distributor","producers","director","starring","cinematography","editors","writers","composers","based_on"
23,"tt0103923",13995,"Captain America","Captain America","Frozen in the ice for decades, Captain America is freed to battle against arch-criminal, The Red Skull.",NULL,"https://en.wikipedia.org/wiki/Captain_America_(1990_film)","https://www.imdb.com/title/tt0103923/",97,10000000,10173,"1990-12-14 00:00:00",11.228156,4.5,87,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]","en","During World War II, a brave, patriotic American Soldier undergoes experiments to become a new supersoldier, ""Captain America."" Racing to Germany to sabotage the rockets of Nazi baddie ""Red Skull"", Captain America winds up frozen until the 1990s. He reawakens to find that the Red Skull has changed identities and is now planning to kidnap the President of the United States.","[{'iso_639_1': 'en', 'name': 'English'}]","{Yugoslavia,""United States""}","[{'name': 'Jadran Film', 'id': 168}, {'name': '21st Century Film Corporation', 'id': 13282}, {'name': 'Marvel Enterprises', 'id': 19551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'HR', 'name': 'Croatia'}]","{""20/20 Vision"",""(UK VHS)"",""Columbia Tristar Home Video"",""(US VHS)"",Metro-Goldwyn-Mayer,(Current)}","{""Joseph Calamari"",""Menahem Golan"",""Tom Karnowski"",""Stan Lee""}","Albert Pyun","{""Matt Salinger"",""Ronny Cox"",""Scott Paulin"",""Ned Beatty"",""Darren McGavin"",""Francesca Neri"",""Michael Nouri""}","Philip Alan Waters","Jon Poll","{""Stephen Tolkin"",""Lawrence Block""}","Barry Goldberg","{""Captain America"",by,""Joe Simon"",""Jack Kirby""}"
24,"tt0154129",32638,"Cartoon All-Stars to the Rescue","Cartoon All-Stars to the Rescue","Drugs don't stand a chance against these guys!",NULL,"https://en.wikipedia.org/wiki/Cartoon_All-Stars_to_the_Rescue","https://www.imdb.com/title/tt0154129/",26,NULL,NULL,"1990-04-21 00:00:00",0.61108,6,5,"[]","en","The plot chronicles the exploits of Michael, a teenager who is using marijuana and stealing his father's beer. His younger sister, Corey, is worried about him because he started acting differently. When her piggy bank goes missing, her cartoon tie-in toys come to life to help her find it. After discovering it in Michael's room along with his stash of drugs, the various cartoon characters proceed to work together and take him on a fantasy journey to teach him the risks and consequences a life of drug-use can bring and save the world.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","United States","[{'name': 'Southern Star Productions', 'id': 10858}, {'name': 'Wang Film Productions', 'id': 10859}, {'name': 'Academy of Television Arts & Sciences', 'id': 10860}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","{McDonald's,(sponsorship),""Ronald McDonald Children's Charities"",(sponsorship),""Chuck E. Cheese's"",(sponsorship),""Buena Vista Home Video"",(VHS)}","Buzz Potamkin","{""Milton Gray"",""Marsh Lamore"",""Bob Shellhorn"",""Mike Svayko"",""Karen Peterson"",(supervising)}",NULL,NULL,"Jay Bixsen","{""Duane Poole"",""Tom Swale""}","{""Richard Kosinski"",""Sam Winans"",""Paul Buckmaster"",""Bill Reichenbach"",""Bob Mann"",""Guy Moon"",""Alan Menken""}",NULL
25,"tt0096875",32924,"Catchfire","Catchfire","When murder is your business, you'd better not fall in love with your work.",NULL,"https://en.wikipedia.org/wiki/Catchfire","https://www.imdb.com/title/tt0096875/",98,10000000,5000000,"1990-04-03 00:00:00",3.981125,5.8,16,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]","en","A witness to a mob assassination flees for her life from town to town, switching identities, but cannot seem to elude Milo, the chief killer out to get her.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[]","[]","Vestron Pictures","Dick Clark","{""Dennis Hopper"",(as,""Alan Smithee"",)}","{""Jodie Foster"",""Dennis Hopper"",""Fred Ward"",""Vincent Price""}","Edward Lachman","David Rawlins","{""Rachel Kronstadt Mann"",""Ann Louise Bardach"",""Alex Cox"",""Tod Davies""}","Curt Sobel",NULL
26,"tt0099253",11186,"Child's Play 2","Child's Play 2","Look out Jack! Chucky's back!","{'id': 10455, 'name': ""Child's Play Collection"", 'poster_path': '/50aqbDvbOtdlZrje6Qk4ZvKM7dM.jpg', 'backdrop_path': '/AAhYXBVIEl6WgQnzfBsauTIC25.jpg'}","https://en.wikipedia.org/wiki/Child%27s_Play_2","https://www.imdb.com/title/tt0099253/",84,13000000,35763605,"1990-11-09 00:00:00",14.310479,5.8,323,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]","en","Chuckie's back as the doll possessed by the soul of a serial killer, butchering all who stand in his way of possessing the body of a boy.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]","United States","[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","David Kirschner","John Lafia","{""Alex Vincent"",""Jenny Agutter"",""Gerrit Graham"",""Christine Elise"",""Grace Zabriskie""}","Stefan Czapsky","Edward Warschilka","Don Mancini","Graeme Revell","{Characters,""by Don Mancini""}"
27,"tt0101578",275477,"China Cry: A True Story","China Cry: A True Story",NULL,NULL,"https://en.wikipedia.org/wiki/China_Cry","https://www.imdb.com/title/tt0101578/",101,NULL,NULL,"1990-11-02 00:00:00",0.150438,5.7,3,"[{'id': 18, 'name': 'Drama'}]","en","Drama set in the 1950s, based on a true story, about a young girl, Sung Neng Yee, who is brought as part of a wealthy Chinese family. She is eager to become part of Mao Tze Tung's ""new society"", but soon becomes disenchanted by the economic misery the changes bring to her family. Before long, the authorities become aware of Neng Yee's feelings and she is taken to a labour camp, overseen by the sadistic Colonel Cheng.","[{'iso_639_1': 'en', 'name': 'English'}]","USA","[{'name': 'TBN Films', 'id': 5045}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Penland Productions","Don L. Parker","James F. Collier","{""Julia Nickson-Soul"",""France Nuyen"",""James Shigeta""}","David Worth","Duane Hartzell & Ruby Yang","James F. Collier","{""Joel Hirschhorn"",&,""Al Kasha""}","{""China Cry"",by,""Nora Lam"",""& Irene Burk Harrell""}"
28,"tt0099259",162850,"The China Lake Murders","The China Lake Murders","Every year, Officer Donnelly goes to China Lake to unwind, do a little fishing... Kill a few people",NULL,"https://en.wikipedia.org/wiki/The_China_Lake_Murders","https://www.imdb.com/title/tt0099259/",97,NULL,NULL,"1990-01-31 00:00:00",0.001632,0,0,"[]","en","A small town sheriff (Tom Skerritt) has his suspicions in a murder case which involves a rogue cop who goes on a murder spree. Contains mild sexual situations and violence.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Fox Broadcasting Company","{""William Beaudine Jr."",""Beth Tate (co-producer)""}","Alan Metzger","{""Isaac Allan"",""Tom Skerritt"",""Michael Parks""}","Geoffrey Schaaf","Sidney Wolinsky","N.D. Schreiner","Dana Kaproff",NULL
29,"tt0099260",13293,"China O'Brien","China O'Brien",NULL,"{'id': 279445, 'name': ""China O'Brien Collection"", 'poster_path': '/xjDImequBMIj7PkueGsQ2k3r4In.jpg', 'backdrop_path': None}","https://en.wikipedia.org/wiki/China_O%27Brien","https://www.imdb.com/title/tt0099260/",86,NULL,NULL,"1990-01-01 00:00:00",0.774983,6.5,13,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","en","China O'brien; big city police woman; martial arts trainer, is forced to hand in her badge and head home to her father and the small town where she grew up. The peaceful town she knew is now struggling against the clutches of organized crime. When her father, the town sheriff, is killed China decides to run for his position and clean up the town. The poll results spark a series of confrontations that finally decide who runs the town . . .","[{'iso_639_1': 'en', 'name': 'English'}]",NULL,"[]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","{""Studio / Sterling"",""Golden Harvest"",""Media Asia Group""}","{""Fred Weintraub"",""Sandra Weintraub""}","Robert Clouse","{""Cynthia Rothrock"",""Richard Norton"",""Keith Cooke"",""Doug Wright"",Nijel,""Arturo Rivera""}","Kent L. Wakeford","Mark Harrah","Sandra Weintraub","{""David Wheatley"",""Paul Antonelli""}",NULL
30,"tt0099277",23535,"Class of 1999","Class of 1999","Staying after school can be deadly!","{'id': 164397, 'name': 'Class of 1999 Collection', 'poster_path': None, 'backdrop_path': None}","https://en.wikipedia.org/wiki/Class_of_1999","https://www.imdb.com/title/tt0099277/",99,5200000,2459895,"1990-05-11 00:00:00",6.700173,6.3,46,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","en","The time is in the future and the youth gang violence is so high that the areas around some schools have become ""free-fire zones"", into which not even the police will venture. When Miles Langford, the head of Kennedy High School, decides to take his school back from the gangs, robotics specialist Dr. Robert Forrest provides ""tactical education units"". These are amazingly human-like androids that have been programmed to teach and are supplied with devastatingly effective solutions to discipline problems. So when he violent, out-of-control students of Kennedy High report for class tomorrow, they're going to get a real education... in staying alive!","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Lightning Pictures', 'id': 4233}, {'name': 'Original Pictures', 'id': 4234}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Lightning Pictures","Mark L. Lester","Mark L. Lester","{""Bradley Gregg"",""Traci Lind"",""John P. Ryan"",""Pam Grier"",""Joshua Miller"",""Stacy Keach"",""Malcolm McDowell""}","Mark Irwin","Scott Conrad","Mark L. Lester","Michael Hoenig",NULL
31,"tt0099291",59820,"Come See the Paradise","Come See the Paradise",NULL,NULL,"https://en.wikipedia.org/wiki/Come_See_the_Paradise","https://www.imdb.com/title/tt0099291/",133,17500000,947306,"1990-08-17 00:00:00",6.408322,6.1,14,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 36, 'name': 'History'}]","en","Come See The Paradise is a deeply touching love story set against the backdrop of a dramatic and controversial period in American history, It follows the romance and eventual marriage of Jack McGurn (Dennis Quad), a hot blooded Irish American, and a beautiful Japanese American Lily Dawanura (Tamlyn Tomita), at the outset of World War II. The clash of cultures, at once painful for the two lovers, becomes insurmountable after the Japanese bomb Pearl Harbor. Lily and the Kawamuras are relocated To a bleak, outdoor internment camp in California, Jack is drafted into the Army, powerless to help the woman he loves abandoning all hope of ever winning her family's approval.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Robert F. Colesberry"",""Nellie Nugiel""}","Alan Parker","{""Dennis Quaid"",""Tamlyn Tomita"",""Sab Shimono"",""Shizuko Hoshi""}","Michael Seresin","Gerry Hambling","Alan Parker","Randy Edelman",NULL
32,"tt0099310",39062,"Coupe de Ville","Coupe de Ville",NULL,NULL,"https://en.wikipedia.org/wiki/Coupe_de_Ville_(film)","https://www.imdb.com/title/tt0099310/",99,NULL,715,"1990-03-09 00:00:00",5.168379,5.9,17,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","en","Meet the Libner brothers: Marvin (Daniel Stern), the oldest, is a sergeant in the U.S. Air Force. Buddy (Arye Gross), the middle child, is a timid dreamer. Bobby (Patrick Dempsey), the youngest, is a handsome rebel in reform school. As kids, they fought a lot and as adults, they barely speak. In the summer of 1963, their tough and eccentric father, Fred (Alan Arkin), gives them a task: to bring a 1954 Cadillac, bought for their mother, Betty (Rita Taggart), from Detroit to Miami. As the trip goes on, the three brothers fight and begin to reconnect with each other, while trying to keep the Caddy in mint condition.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Morgan Creek Productions', 'id': 10210}]","[]","Universal Pictures","{""James G. Robinson"",""Mike Binder""}","Joe Roth","{""Patrick Dempsey"",""Arye Gross"",""Daniel Stern"",""Annabeth Gish"",""Rita Taggart"",""Joseph Bologna"",""Alan Arkin""}","Reynaldo Villalobos","Paul Hirsch","Mike Binder","James Newton Howard",NULL
33,"tt0099313",24862,"Crash and Burn","Crash and Burn",NULL,NULL,"https://en.wikipedia.org/wiki/Crash_and_Burn_(1990_film)","https://www.imdb.com/title/tt0099313/",85,NULL,NULL,"1990-01-01 00:00:00",1.637273,4.7,7,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","en","Unicom is a powerful organization overseeing most of the world after its economic collapse. They have banned computers and robots in an attempt to insure ""life, liberty, and the pursuit of economic stability"". When a Unicom Synth robot infiltrates a southwest TV station and kills the manager, a revolutionary against the gestapo-like corporation, a lowly Unicom delivery man must help the rest of th","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Full Moon Entertainment', 'id': 4867}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Home Video","{""David DeCoteau"",""John Schouweiler""}","Charles Band","{""Paul Ganus"",""Megan Ward"",""Jack McGee"",""Eva LaRue""}","Mark Ahlberg","Ted Nicolaou","J. S. Cardone","Richard Band",NULL
34,"tt0099316",16814,"Crazy People","Crazy People","Warning: Crazy People are coming.",NULL,"https://en.wikipedia.org/wiki/Crazy_People","https://www.imdb.com/title/tt0099316/",90,18000000,13236513,"1990-04-13 00:00:00",3.057685,5.5,23,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","en","A bitter ad executive who has reached his breaking point, finds himself in a mental institution where his career actually begins to thrive with the help of the hospital's patients.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Intuitive TV', 'id': 78462}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","{""Thomas Brand"",""Robert K. Weiss""}","{""Tony Bill"",""Barry L. Young (commercials)""}","{""Dudley Moore"",""Daryl Hannah"",""Paul Reiser""}","Victor J. Kemper","Mia Goldman","Mitch Markowitz","Cliff Eidelman",NULL
35,"tt0099329",9768,"Cry-Baby","Cry-Baby","Good girls want him bad. Bad girls want him worse.",NULL,"https://en.wikipedia.org/wiki/Cry-Baby","https://www.imdb.com/title/tt0099329/",85,11000000,8266343,"1990-04-05 00:00:00",8.290384,6.4,289,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]","en","A prim and proper schoolgirl goes against her mother's wishes when she dates a motorcycle-riding juvenile delinquent.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","Rachel Talalay","John Waters","{""Johnny Depp"",""Amy Locane"",""Susan Tyrrell"",""Iggy Pop"",""Ricki Lake"",""Traci Lords"",""Polly Bergen""}","David Insley","Janice Hampton","John Waters","Patrick Williams",NULL
36,"tt0099342",21030,"Daddy's Dyin'... Who's Got the Will?","Daddy's Dyin'... Who's Got the Will?",NULL,NULL,"https://en.wikipedia.org/wiki/Daddy%27s_Dyin%27:_Who%27s_Got_the_Will%3F","https://www.imdb.com/title/tt0099342/",95,4000000,1373728,"1990-05-04 00:00:00",0.284911,5.7,3,"[{'id': 35, 'name': 'Comedy'}]","en","Bickering siblings are reunited at their Texas home as their father lies on his deathbed in this black comedy.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","{MGM,/,UA,""Pictures Inc.""}","{""Steve Golin"",""Monty Montgomery""}","Jack Fisk","{""Beau Bridges"",""Beverly D'Angelo"",""Tess Harper"",""Judge Reinhold"",""Amy Wright"",""Patrika Darbo"",""Molly McClure"",""Keith Carradine""}","Paul Elliott","Edward A. Warschilka","Del Shores","David McHugh",NULL
37,"tt0099348",581,"Dances with Wolves","Dances with Wolves","Inside everyone is a frontier waiting to be discovered.",NULL,"https://en.wikipedia.org/wiki/Dances_with_Wolves","https://www.imdb.com/title/tt0099348/",181,22000000,424208848,"1990-11-09 00:00:00",11.654349,7.6,1084,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]","en","Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Tig Productions', 'id': 335}, {'name': 'Majestic Films International', 'id': 2630}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","Orion Pictures","{""Jim Wilson"",""Kevin Costner""}","Kevin Costner","{""Kevin Costner"",""Mary McDonnell"",""Graham Greene"",""Rodney Grant""}","Dean Semler","Neil Travis","Michael Blake","John Barry","{""Dances with Wolves"",""by Michael Blake""}"
38,"tt0099364",2154,"The Dark Side of The Moon","The Dark Side of The Moon","Beyond Rescue ... Beyond Reason ... Beyond Salvation",NULL,"https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Moon_(1990_film)","https://www.imdb.com/title/tt0099364/",96,NULL,NULL,"1990-05-30 00:00:00",1.576967,4.7,11,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","en","It is the year 2022. A mysterious systems failure causes the crew of a spaceship to be stranded on the dark side of the moon, while rapidly running out of fuel and oxygen. They are surprised to discover a NASA space shuttle floating in space, and board it in the hope of salvaging some supplies. One by one, the crew is possessed and killed, and it is up to Paxton Warner to find the links between the dark side of the moon, the Bermuda Triangle, and the Devil himself.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Wildstreet Pictures', 'id': 993}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Trimark Pictures","{""Keith Walley"",""D.J. Webster""}","D.J. Webster","{""Robert Sampson"",""Will Bledsoe"",""Joe Turkel"",""Camilla More"",""John Diehl"",""Wendy MacDonald"",""Alan Blumenfeld""}",NULL,NULL,"{""Carey Hayes"",""Chad Hayes""}","{""Philip Davies"",""Mark Ryder""}",NULL
39,"tt0099365",9556,"Darkman","Darkman","They destroyed everything he had, everything he was. Now, crime has a new enemy and justice has a new face.","{'id': 45154, 'name': 'Darkman Collection', 'poster_path': '/mHrcic92RHbKHDi5Lxdhu5job6X.jpg', 'backdrop_path': '/oVqe4GNZkbWPppmvIyxFmyZNPhx.jpg'}","https://en.wikipedia.org/wiki/Darkman","https://www.imdb.com/title/tt0099365/",96,16000000,48878502,"1990-08-24 00:00:00",8.899418,6.2,304,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}]","en","Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Renaissance Pictures', 'id': 467}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Universal Pictures","Robert Tapert","Sam Raimi","{""Liam Neeson"",""Frances McDormand"",""Colin Friels"",""Larry Drake""}","Bill Pope","{""Bud S. Smith"",""David Stiven""}","Sam Raimi","Danny Elfman",NULL
40,"tt0099371",2119,"Days of Thunder","Days of Thunder","You can't stop the thunder.",NULL,"https://en.wikipedia.org/wiki/Days_of_Thunder","https://www.imdb.com/title/tt0099371/",107,60000000,157920733,"1990-06-27 00:00:00",7.046753,5.9,359,"[{'id': 12, 'name': 'Adventure'}]","en","Talented but unproven stock car driver Cole Trickle gets a break and with the guidance of veteran Harry Hogge turns heads on the track. The young hotshot develops a rivalry with a fellow racer that threatens his career when the two smash their cars. But with the help of his doctor, Cole just might overcome his injuries-- and his fear.","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Don Simpson/Jerry Bruckheimer Films', 'id': 10288}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Paramount Pictures","{""Don Simpson"",""Jerry Bruckheimer""}","Tony Scott","{""Tom Cruise"",""Robert Duvall"",""Randy Quaid"",""Nicole Kidman"",""Michael Rooker"",""John C. Reilly"",""Cary Elwes""}","Ward Russell","{""Billy Weber"",""Chris Lebenzon""}","{""Robert Towne"",""Tom Cruise""}","Hans Zimmer",NULL
41,"tt0109575",1702,"Death Machine","Death Machine","It feeds on your fear",NULL,"https://en.wikipedia.org/wiki/Death_Machine","https://www.imdb.com/title/tt0109575/",117,6500000,1422749,"1994-12-23 00:00:00",9.217153,5.8,26,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","en","Chaank Armaments is experimenting with the ultimate fighting machine which is part human - part machine. So far, the Hardman project has been unreliable and has killed a number of innocent people. The genius behind this project is Jack who lives in a world of models, toys and magazines. When he is fired by Cale for killing a few corporate officers, he unleashes the ultimate killing machine called the 'Warbeast' against Cale and those who would help her.","[{'iso_639_1': 'en', 'name': 'English'}]","{""United Kingdom"",[1],Japan,[1]}","[{'name': 'Fugitive Features', 'id': 1625}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","Entertainment Film Distributors","Dominic Anciano","Stephen Norrington","{""Brad Dourif"",""Ely Pouget"",""William Hootkins"",""John Sharian"",""Richard Brake""}","John de Borman","Paul Endacott","Stephen Norrington","Crispin Merrell",NULL
42,"tt0099399",19086,"Delta Force 2: The Colombian Connection","Delta Force 2: The Colombian Connection","Norris and the force are back","{'id': 126166, 'name': 'The Delta Force Collection', 'poster_path': '/xt10SGPh35qrXrpWikFlVNRNZ7i.jpg', 'backdrop_path': '/coqZkrXTcqtDBcaQRpCGwcGsh6Y.jpg'}","https://en.wikipedia.org/wiki/Delta_Force_2:_The_Colombian_Connection","https://www.imdb.com/title/tt0099399/",111,16000000,6698361,"1990-08-24 00:00:00",7.007739,5.3,48,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","en","When DEA agents are taken captive by a ruthless South American kingpin, the Delta Force is reunited to rescue them in this sequel to the 1986 film.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]","United States","[{'name': 'Cannon Group', 'id': 1444}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Metro-Goldwyn-Mayer","{""Yoram Globus"",""Christopher Pearce""}","Aaron Norris","{""Chuck Norris"",""John P. Ryan"",""Paul Perri"",""Richard Jaeckel"",""Begoña Plaza"",""Mateo Gómez"",""Héctor Mercado"",""Billy Drago""}","João Fernandes","Michael J. Duthie","Lee Reynolds","Frédéric Talgorn","{Characters,""by James Bruner"",""Menahem Golan""}"
43,"tt0099409",31676,"Desperate Hours","Desperate Hours","Desire is the deadliest weapon of all.",NULL,"https://en.wikipedia.org/wiki/Desperate_Hours","https://www.imdb.com/title/tt0099409/",105,18000000,2700000,"1990-10-05 00:00:00",3.233994,5.3,37,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","en","A criminal holds a wealthy family hostage.","[{'iso_639_1': 'en', 'name': 'English'}]",NULL,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","MGM/UA Distribution Co.","{""Michael Cimino"",""Dino De Laurentiis""}","Michael Cimino","{""Mickey Rourke"",""Anthony Hopkins"",""Mimi Rogers"",""Lindsay Crouse"",""Kelly Lynch""}","Douglas Milsome","{""Christopher Rouse"",""Peter R. Hunt"",""(supervising editor)""}","{""Joseph Hayes"",""Lawrence Konner"",""Mark Rosenthal""}","David Mansfield","{""Desperate Hours"",""by Joseph Hayes""}"
44,"tt0099422",8592,"Dick Tracy","Dick Tracy","Their turf. Their game. Their rules. They didn't count on HIS law...",NULL,"https://en.wikipedia.org/wiki/Dick_Tracy_(1990_film)","https://www.imdb.com/title/tt0099422/",103,47000000,103738726,"1990-06-15 00:00:00",8.304776,5.9,258,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","en","The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob,","[{'iso_639_1': 'en', 'name': 'English'}]","United States","[{'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","Buena Vista Pictures","Warren Beatty","Warren Beatty","{""Warren Beatty"",""Al Pacino"",Madonna,""Glenne Headly"",""Charlie Korsmo""}","Vittorio Storaro","Richard Marks","{""Jim Cash"",""Jack Epps Jr.""}","Danny Elfman","{""Dick Tracy"",by,""Chester Gould""}"
45,"tt0099423",1573,"Die Hard 2","Die Hard 2","Die Harder","{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}","https://en.wikipedia.org/wiki/Die_Hard_2","https://www.imdb.com/title/tt0099423/",124,70000000,240031094,"1990-07-02 00:00:00",18.785984,6.6,1920,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","en","John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","United States","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Gordon Company', 'id': 1073}, {'name': 'Silver Pictures', 'id': 1885}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","20th Century Fox","{""Charles Gordon"",""Lawrence Gordon"",""Joel Silver""}","Renny Harlin","{""Bruce Willis"",""Bonnie Bedelia"",""William Atherton"",""Reginald VelJohnson"",""Franco Nero"",""William Sadler"",""John Amos""}","Oliver Wood","{""Stuart Baird"",""Robert A. Ferretti""}","{""Steven E. de Souza"",""Doug Richardson""}","Michael Kamen","{""58 Minutes"",by,""Walter Wager"",Characters,by,""Roderick Thorpe""}"
